,Unnamed: 0,cluster,tweets,timestamp
0,0,3,چاچا ستو پی دیکھ پاکستان عوام نکلی یے,2022-04-10 20:09:56
1,1,1,لوگ باہر لوگ نکل جلسا ملک باہر بغیر لیڈر خود خان باہرایگا حال نام شر,2022-04-10 20:09:56
2,2,0,آپکی رائے تحریک انصاف اسمبلی مستعفی چاہیے ,2022-04-10 20:09:57
3,3,3,جگر لالہ ٹھنڈک شبنم دریا دل دہل طوفان لحظہ مومن امپورٹڈگورمنٹنامنظور,2022-04-10 20:09:57
4,4,3,شہباز شریف کاغذہ نامزدگی منظور ایف آئ پہلا آرڈر کل وکیل ٹیم شہباز شریف مقدمہ م,2022-04-10 20:09:57
5,5,3,عمران خان ووٹر چھوٹا سال سارا ووٹس آج ,2022-04-10 20:09:57
6,6,3,غیر جمہوری غیر آئینی طریقہ نکال جمہوری ائینی طریقہ نکال اب پتہ چور ھے,2022-04-10 20:09:57
7,7,3,پاکستان تاریخ پہلا دفعہ چیف آف آرمی سٹاف شدید ترین ذلت ساتھ رخصت ,2022-04-10 20:09:57
8,8,2,راولپنڈی لوگ سڑک پہ چھتہ پاکستان شہر سمیت دنیا بھر عمران خاں حق مظاہرے حالات م,2022-04-10 20:09:57
9,9,1,لوگ باہر لوگ نکل جلسا ملک باہر بغیر لیڈر خود خان باہرایگا حال نام شر,2022-04-10 20:09:57
10,10,3,میڈیا بلیک آوٹ کروا اکھاڑ الٹا مزید نقاب آج جنریشن معلومات کیلئے آپکا جیونیوز محتاج ,2022-04-10 20:09:57
11,11,3,شمع فروزاں آندھی ڈراتا شمع فروزاں پروانہ ہزار امپورٹڈگورمنٹنامنظور,2022-04-10 20:09:58
12,12,3,اب تیز ,2022-04-10 20:09:58
13,13,1,لوگ باہر لوگ نکل جلسا ملک باہر بغیر لیڈر خود خان باہرایگا حال نام شر,2022-04-10 20:09:58
14,14,3,یزید جیت مطلب حسین ہار برحق کےلیے اکثریت درکار بہادر اکیلا جیت شجاعت بازی کتنی شاندار غلامی وقار جھنڈ یزیدی ڈر حسینیت تعداد توکبھی شمار امپورٹڈحکومتنامنظور,2022-04-10 20:09:58
15,15,3,پولیس رینجرز گزارش ممکن راستہ کھلوا یوتھی بچہ سکول بیمار ایمبولینس پھ,2022-04-10 20:09:58
16,16,0,لاہور لبرٹی مارکیٹ پسندیدہ ہوٹل سینڈوچ منگوانا راستہ بند سوشل میڈیا دیکھ دنگ,2022-04-10 20:09:58
17,17,3,وقت باجوہ ,2022-04-10 20:09:58
18,18,0,اتنا احتجاج میڈیا دکھ ویسےکوئی فرق پڑ میڈیادیکھتا ,2022-04-10 20:09:58
19,19,3,عرض سیاست فیصلہ عدالت کوشش تباہ کن سمجھ آج باہر نکلیں عو,2022-04-10 20:09:58
20,20,3,خلاف تحریک عدم اعتماد کامیاب ہوگئی قوم اعتماد خوشی دن ملک ,2022-04-10 20:09:58
21,21,0,ب ھکاری باپ پاکستانی ,2022-04-10 20:09:59
22,22,3,حیی قیوم انشاء پاکستان جیت انشاء انشاء عمران خان سرخرو آقا کریم صل اللہ علیہ وسلم صدقہ آمین ثم آمین,2022-04-10 20:09:58
23,23,3,عمران خان رخصت اب میڈیا خصوصا چینلز خوداحتسابی ضرور کہاں کہاں حب عمران کہاں کہاں بغض,2022-04-10 20:09:59
24,24,3,رسول اللہ صلی اللہ علیہ وسلم فرما جنت دروازہ ریان تاقیامت دن دروازہ روزہ دا,2022-04-10 20:09:59
25,25,3,نسل خودار آزادی پسند بنا عمران غلامانہ سوچ خاتمہ انشاالله,2022-04-10 20:09:59
26,26,3,حسابباقیہے غازی صاحب محبت شفقت شکریہ اللہ پاک خوش یونہی چرچا ر,2022-04-10 20:09:59
27,27,0,لاہور لبرٹی مارکیٹ پسندیدہ ہوٹل سینڈوچ منگوانا راستہ بند سوشل میڈیا دیکھ دنگ,2022-04-10 20:09:59
28,28,3,جناب آج ٹویٹ شہر حق نکلا جواب ,2022-04-10 20:09:59
29,29,3,چینل اینکرز رولنگ مسترد عدم منظور اتنا زور ڈائپر بھر اندازہ ا,2022-04-10 20:09:59
30,30,0,ب ھکاری باپ پاکستانی ,2022-04-10 20:09:59
31,31,1,لوگ باہر لوگ نکل جلسا ملک باہر بغیر لیڈر خود خان باہرایگا حال نام شر,2022-04-10 20:09:59
32,32,0,لاہور لبرٹی مارکیٹ پسندیدہ ہوٹل سینڈوچ منگوانا راستہ بند سوشل میڈیا دیکھ دنگ,2022-04-10 20:09:59
33,33,3,ساڑھے تین سال پوچھ بتا پورا نظام مخالف الیکشن,2022-04-10 20:09:59
34,34,3,پاکستان سٹیک ہولڈرز منہ زوردار تھپڑ محسوس حس ,2022-04-10 20:09:59
35,35,3,اللہ احتجاج اثر ورنہ کمپرومائزڈ جائئں اثر نھی ,2022-04-10 20:09:59
36,36,3,حکومت نشہ ظالم چیز چڑھ یک دم اترتا طاقت ہینگ اوور چند جوتی پڑ چار,2022-04-10 20:10:00
37,37,3,وزیر اعظم ہاؤس چھوڑا پہلےمیرے کپتان میڈیا اینکرز سوال بتاؤ عوام علاوہ کوئ میر,2022-04-10 20:10:00
38,38,3,ناموس رسالت ﷺ مارچ کتا بھونکنے آج لیڈر خاطر سڑک ذلیل پوچھنا ھے اب روڑ بلاک حلال حسابباقیہے,2022-04-10 20:10:00
39,39,0,اتنا احتجاج میڈیا دکھ ,2022-04-10 20:10:00
40,40,3,تحریک انصاف گھٹیا جماعت ھے سیاست مذہب کارڈ غداری کارڈ ناسمجھ معصوم بچہ استعمال ,2022-04-10 20:10:00
41,41,3,قوم اب شعور چک خان صاحب,2022-04-10 20:10:00
42,42,3,مان نوجوان نسل بیدار چک تبدیلی شخص قوم شعور بس اب انت,2022-04-10 20:10:00
43,43,2,راولپنڈی لوگ سڑک پہ چھتہ پاکستان شہر سمیت دنیا بھر عمران خاں حق مظاہرے حالات م,2022-04-10 20:10:00
